id,infection,log viral load,dose,population,strain
1,0,,2.3,mt,m
2,0,,2.3,mt,m
3,0,,2.3,mt,m
4,0,,2.3,mt,m
5,0,,2.3,mt,m
6,0,,2.3,mt,m
9,0,,3.3,mt,m
12,0,,3.3,mt,m
15,0,,3.3,mt,m
16,0,,3.3,mt,m
20,0,,4.3,mt,m
23,0,,4.3,mt,m
24,0,,4.3,mt,m
32,0,,5.3,mt,m
33,0,,2.3,mt,u
34,0,,2.3,mt,u
35,0,,2.3,mt,u
36,0,,2.3,mt,u
37,0,,2.3,mt,u
38,0,,2.3,mt,u
39,0,,2.3,mt,u
40,0,,2.3,mt,u
41,0,,3.3,mt,u
42,0,,3.3,mt,u
44,0,,3.3,mt,u
47,0,,3.3,mt,u
48,0,,3.3,mt,u
49,0,,4.3,mt,u
52,0,,4.3,mt,u
55,0,,4.3,mt,u
57,0,,5.3,mt,u
65,0,,2.3,mt,l
66,0,,2.3,mt,l
67,0,,2.3,mt,l
68,0,,2.3,mt,l
69,0,,2.3,mt,l
70,0,,2.3,mt,l
71,0,,2.3,mt,l
72,0,,2.3,mt,l
73,0,,3.3,mt,l
74,0,,3.3,mt,l
75,0,,3.3,mt,l
76,0,,3.3,mt,l
78,0,,3.3,mt,l
79,0,,3.3,mt,l
80,0,,3.3,mt,l
86,0,,4.3,mt,l
92,0,,5.3,mt,l
97,0,,2.3,ns,m
98,0,,2.3,ns,m
99,0,,2.3,ns,m
100,0,,2.3,ns,m
101,0,,2.3,ns,m
102,0,,2.3,ns,m
103,0,,2.3,ns,m
104,0,,2.3,ns,m
105,0,,3.3,ns,m
106,0,,3.3,ns,m
107,0,,3.3,ns,m
108,0,,3.3,ns,m
109,0,,3.3,ns,m
110,0,,3.3,ns,m
112,0,,3.3,ns,m
113,0,,4.3,ns,m
115,0,,4.3,ns,m
117,0,,4.3,ns,m
118,0,,4.3,ns,m
119,0,,4.3,ns,m
120,0,,4.3,ns,m
121,0,,5.3,ns,m
124,0,,5.3,ns,m
127,0,,5.3,ns,m
129,0,,2.3,ns,u
130,0,,2.3,ns,u
131,0,,2.3,ns,u
132,0,,2.3,ns,u
133,0,,2.3,ns,u
134,0,,2.3,ns,u
135,0,,2.3,ns,u
136,0,,2.3,ns,u
137,0,,3.3,ns,u
138,0,,3.3,ns,u
140,0,,3.3,ns,u
141,0,,3.3,ns,u
142,0,,3.3,ns,u
143,0,,3.3,ns,u
144,0,,3.3,ns,u
148,0,,4.3,ns,u
149,0,,4.3,ns,u
150,0,,4.3,ns,u
152,0,,4.3,ns,u
156,0,,5.3,ns,u
161,0,,2.3,ns,l
162,0,,2.3,ns,l
163,0,,2.3,ns,l
164,0,,2.3,ns,l
165,0,,2.3,ns,l
166,0,,2.3,ns,l
167,0,,2.3,ns,l
168,0,,2.3,ns,l
169,0,,3.3,ns,l
170,0,,3.3,ns,l
171,0,,3.3,ns,l
172,0,,3.3,ns,l
173,0,,3.3,ns,l
174,0,,3.3,ns,l
176,0,,3.3,ns,l
177,0,,4.3,ns,l
178,0,,4.3,ns,l
180,0,,4.3,ns,l
181,0,,4.3,ns,l
182,0,,4.3,ns,l
183,0,,4.3,ns,l
184,0,,4.3,ns,l
193,0,,2.3,pr,m
194,0,,2.3,pr,m
195,0,,2.3,pr,m
196,0,,2.3,pr,m
197,0,,2.3,pr,m
198,0,,2.3,pr,m
199,0,,2.3,pr,m
200,0,,2.3,pr,m
201,0,,3.3,pr,m
202,0,,3.3,pr,m
204,0,,3.3,pr,m
205,0,,3.3,pr,m
206,0,,3.3,pr,m
207,0,,3.3,pr,m
208,0,,3.3,pr,m
211,0,,4.3,pr,m
215,0,,4.3,pr,m
224,0,,5.3,pr,m
225,0,,2.3,pr,u
226,0,,2.3,pr,u
227,0,,2.3,pr,u
228,0,,2.3,pr,u
229,0,,2.3,pr,u
230,0,,2.3,pr,u
231,0,,2.3,pr,u
232,0,,2.3,pr,u
233,0,,3.3,pr,u
234,0,,3.3,pr,u
235,0,,3.3,pr,u
236,0,,3.3,pr,u
237,0,,3.3,pr,u
238,0,,3.3,pr,u
239,0,,3.3,pr,u
240,0,,3.3,pr,u
241,0,,4.3,pr,u
244,0,,4.3,pr,u
246,0,,4.3,pr,u
247,0,,4.3,pr,u
248,0,,4.3,pr,u
249,0,,5.3,pr,u
250,0,,5.3,pr,u
257,0,,2.3,pr,l
258,0,,2.3,pr,l
259,0,,2.3,pr,l
260,0,,2.3,pr,l
261,0,,2.3,pr,l
262,0,,2.3,pr,l
263,0,,2.3,pr,l
264,0,,2.3,pr,l
265,0,,3.3,pr,l
266,0,,3.3,pr,l
267,0,,3.3,pr,l
268,0,,3.3,pr,l
269,0,,3.3,pr,l
271,0,,3.3,pr,l
272,0,,3.3,pr,l
273,0,,4.3,pr,l
278,0,,4.3,pr,l
289,0,,2.3,cw,m
290,0,,2.3,cw,m
291,0,,2.3,cw,m
292,0,,2.3,cw,m
293,0,,2.3,cw,m
294,0,,2.3,cw,m
295,0,,2.3,cw,m
296,0,,2.3,cw,m
297,0,,3.3,cw,m
298,0,,3.3,cw,m
299,0,,3.3,cw,m
300,0,,3.3,cw,m
301,0,,3.3,cw,m
303,0,,3.3,cw,m
309,0,,4.3,cw,m
311,0,,4.3,cw,m
312,0,,4.3,cw,m
314,0,,5.3,cw,m
315,0,,5.3,cw,m
316,0,,5.3,cw,m
321,0,,2.3,cw,u
322,0,,2.3,cw,u
323,0,,2.3,cw,u
324,0,,2.3,cw,u
325,0,,2.3,cw,u
326,0,,2.3,cw,u
327,0,,2.3,cw,u
328,0,,2.3,cw,u
329,0,,3.3,cw,u
330,0,,3.3,cw,u
331,0,,3.3,cw,u
332,0,,3.3,cw,u
333,0,,3.3,cw,u
334,0,,3.3,cw,u
336,0,,3.3,cw,u
337,0,,4.3,cw,u
338,0,,4.3,cw,u
340,0,,4.3,cw,u
342,0,,4.3,cw,u
344,0,,4.3,cw,u
345,0,,5.3,cw,u
346,0,,5.3,cw,u
349,0,,5.3,cw,u
353,0,,2.3,cw,l
354,0,,2.3,cw,l
355,0,,2.3,cw,l
356,0,,2.3,cw,l
357,0,,2.3,cw,l
358,0,,2.3,cw,l
359,0,,2.3,cw,l
362,0,,3.3,cw,l
363,0,,3.3,cw,l
364,0,,3.3,cw,l
366,0,,3.3,cw,l
371,0,,4.3,cw,l
374,0,,4.3,cw,l
375,0,,4.3,cw,l
7,1,5.972330758,2.3,mt,m
8,1,5.240363357,2.3,mt,m
10,1,5.365653437,3.3,mt,m
11,1,5.084266109,3.3,mt,m
13,1,5.122350974,3.3,mt,m
14,1,6.226818708,3.3,mt,m
17,1,6.614416943,4.3,mt,m
18,1,5.352829121,4.3,mt,m
19,1,4.42790277,4.3,mt,m
21,1,5.859973441,4.3,mt,m
22,1,6.157533291,4.3,mt,m
25,1,6.318359042,5.3,mt,m
26,1,5.378848313,5.3,mt,m
27,1,4.199305726,5.3,mt,m
28,1,4.058600045,5.3,mt,m
29,1,7.64087899,5.3,mt,m
30,1,6.296273649,5.3,mt,m
31,1,6.168886195,5.3,mt,m
43,1,5.963949722,3.3,mt,u
45,1,5.188448045,3.3,mt,u
46,1,3.857626194,3.3,mt,u
50,1,3.980711844,4.3,mt,u
51,1,4.839473352,4.3,mt,u
53,1,5.150253459,4.3,mt,u
54,1,7.619977364,4.3,mt,u
56,1,6.225615599,4.3,mt,u
58,1,4.118148659,5.3,mt,u
59,1,6.611388725,5.3,mt,u
60,1,5.236240282,5.3,mt,u
61,1,4.064911292,5.3,mt,u
62,1,6.082517049,5.3,mt,u
63,1,5.969967017,5.3,mt,u
64,1,6.012319007,5.3,mt,u
77,1,4.576820412,3.3,mt,l
81,1,5.668486728,4.3,mt,l
82,1,5.182275218,4.3,mt,l
83,1,5.968504273,4.3,mt,l
84,1,5.488212363,4.3,mt,l
85,1,5.005677149,4.3,mt,l
87,1,6.493720097,4.3,mt,l
88,1,3.845035428,4.3,mt,l
89,1,5.83801051,5.3,mt,l
90,1,4.647840054,5.3,mt,l
91,1,6.984035496,5.3,mt,l
93,1,4.92567456,5.3,mt,l
94,1,6.870459021,5.3,mt,l
95,1,5.351221707,5.3,mt,l
96,1,6.708753686,5.3,mt,l
111,1,5.116698138,3.3,ns,m
114,1,5.507513429,4.3,ns,m
116,1,7.298773148,4.3,ns,m
122,1,4.400455715,5.3,ns,m
123,1,7.344111736,5.3,ns,m
125,1,7.66648711,5.3,ns,m
126,1,7.759698051,5.3,ns,m
128,1,6.676662155,5.3,ns,m
139,1,7.775501715,3.3,ns,u
145,1,7.375568391,4.3,ns,u
146,1,4.954531817,4.3,ns,u
147,1,4.477489552,4.3,ns,u
151,1,6.342069071,4.3,ns,u
153,1,6.593676627,5.3,ns,u
154,1,6.222843318,5.3,ns,u
155,1,5.753163879,5.3,ns,u
157,1,6.348476354,5.3,ns,u
158,1,4.502537535,5.3,ns,u
159,1,4.381911693,5.3,ns,u
160,1,7.590192367,5.3,ns,u
175,1,4.669823971,3.3,ns,l
179,1,6.980203473,4.3,ns,l
185,1,6.163691256,5.3,ns,l
186,1,6.876520786,5.3,ns,l
187,1,7.770633756,5.3,ns,l
188,1,6.056301181,5.3,ns,l
189,1,4.93663948,5.3,ns,l
190,1,7.300722789,5.3,ns,l
191,1,6.589715588,5.3,ns,l
192,1,7.212318214,5.3,ns,l
203,1,5.408735984,3.3,pr,m
209,1,5.43501151,4.3,pr,m
210,1,5.572269224,4.3,pr,m
212,1,4.922451718,4.3,pr,m
213,1,4.690836186,4.3,pr,m
214,1,4.400411839,4.3,pr,m
216,1,5.105791721,4.3,pr,m
217,1,7.487050642,5.3,pr,m
218,1,5.604331853,5.3,pr,m
219,1,6.831412157,5.3,pr,m
220,1,5.629987263,5.3,pr,m
221,1,5.216636091,5.3,pr,m
222,1,5.789545175,5.3,pr,m
223,1,5.985820507,5.3,pr,m
242,1,5.344714932,4.3,pr,u
243,1,4.494823785,4.3,pr,u
245,1,6.58892179,4.3,pr,u
251,1,4.04927084,5.3,pr,u
252,1,4.885737529,5.3,pr,u
253,1,7.369812283,5.3,pr,u
254,1,6.636824897,5.3,pr,u
255,1,6.286929607,5.3,pr,u
256,1,5.001219652,5.3,pr,u
270,1,5.43859548,3.3,pr,l
274,1,7.296489024,4.3,pr,l
275,1,4.638684818,4.3,pr,l
276,1,5.615706313,4.3,pr,l
277,1,5.622955402,4.3,pr,l
279,1,6.504808639,4.3,pr,l
280,1,4.6079191,4.3,pr,l
281,1,6.760929055,5.3,pr,l
282,1,7.232440752,5.3,pr,l
283,1,7.352394439,5.3,pr,l
284,1,5.537477676,5.3,pr,l
285,1,6.214644837,5.3,pr,l
286,1,4.023697119,5.3,pr,l
287,1,7.603474185,5.3,pr,l
288,1,5.580646871,5.3,pr,l
302,1,6.182711925,3.3,cw,m
304,1,5.168302198,3.3,cw,m
305,1,5.701956176,4.3,cw,m
306,1,7.411463212,4.3,cw,m
307,1,4.716998994,4.3,cw,m
308,1,5.438530987,4.3,cw,m
310,1,7.264369483,4.3,cw,m
313,1,6.645389649,5.3,cw,m
317,1,6.217649309,5.3,cw,m
318,1,6.465771926,5.3,cw,m
319,1,5.774959587,5.3,cw,m
320,1,5.366727353,5.3,cw,m
335,1,8.432030014,3.3,cw,u
339,1,3.874310575,4.3,cw,u
341,1,6.139225221,4.3,cw,u
343,1,3.848817336,4.3,cw,u
347,1,4.218805822,5.3,cw,u
348,1,4.987368718,5.3,cw,u
350,1,6.57152065,5.3,cw,u
351,1,8.500451477,5.3,cw,u
352,1,5.903180117,5.3,cw,u
360,1,6.682546462,2.3,cw,l
361,1,7.50784761,3.3,cw,l
365,1,5.053206653,3.3,cw,l
367,1,6.399762431,3.3,cw,l
368,1,7.569241178,3.3,cw,l
369,1,6.892424705,4.3,cw,l
370,1,5.597038831,4.3,cw,l
372,1,5.884537754,4.3,cw,l
373,1,5.993096097,4.3,cw,l
376,1,5.729482211,4.3,cw,l
377,1,7.182430219,5.3,cw,l
378,1,7.001345301,5.3,cw,l
379,1,7.732172649,5.3,cw,l
380,1,6.142181233,5.3,cw,l
381,1,5.23385702,5.3,cw,l
382,1,6.567121335,5.3,cw,l
383,1,7.109067335,5.3,cw,l
384,1,6.57177484,5.3,cw,l
